Date,Ticker,Open,High,Low,Close,Volume
2023-06-30,META,282.3145351198,286.5676934133,281.9724979144,284.5154701808,19694872
2023-06-30,MO,35.8014433763,36.0715230467,35.7299516988,35.9841443298,9046801
2023-06-30,MOS,32.0817577368,32.5206076574,31.7617630031,31.9994733767,4141394
2023-06-30,MP,23.0,23.22,22.76,22.88,1892358
2023-06-30,MS,78.2006481673,78.6279244361,77.6370071319,77.6370071319,6191660
2023-06-30,MSFT,329.9536753728,334.8187214227,329.4163710902,332.679273461,26832756
2023-06-30,MSOS,5.5,5.65,5.5,5.54,3018410
2023-06-30,MU,63.6650604965,64.2622751891,62.0905853977,62.2978830596,31549615
2023-06-30,MUFG,6.6848255494,6.7256974447,6.678467699,6.6939081928,2655855
2023-06-30,MURGY,6.7083642975,6.7458611434,6.6869375284,6.7226488102,234745
2023-06-30,NAIL,74.3890095056,75.4410267085,73.116565922,74.5358299191,176928
2023-06-30,NEE,66.7578527117,68.0071599361,66.6114137696,67.9110593804,9259959
2023-06-30,NEM,39.3342010495,39.9942965444,39.0860800479,39.9427997327,7215804
2023-06-30,NFLX,43.11,44.412,43.11,44.049,73463940
2023-06-30,NKE,104.8331038609,105.4531401414,103.1505508632,103.6869761907,19629590
2023-06-30,NOC,431.0811380263,437.1313996126,427.9941727987,433.6020803539,766990
2023-06-30,NOW,111.158,113.326,110.806,112.394,6629450
2023-06-30,NRG,35.0474379565,35.2730652395,34.6384885061,35.1508504612,5011573
2023-06-30,NVDA,41.6001845473,42.4685185337,41.4215273247,42.2209934433,501147750
